#TTAtopic,notes,,tableC6 description.
ISM,01-45,observation/land/fixed,,,01-45	Main synoptic observations from fixed land stations	SYNOP (SMxx)	000/002 000/052
ISM,46-59,observation/land/mobile,,,46-59	Main synoptic observations from mobile land stations	SYNOP MOBIL	000/005
ISN,01-45,observation/land/fixed,,,01-45	Synoptic observations from fixed land stations at non-standard time (i.e. 01, 02, 04, 05, ... UTC)	SYNOP (SNxx)	000/000 000/050
ISN,46-59,observation/land/mobile,,,46-59	Synoptic observations from mobile land stations at non-standard time (i.e. 01, 02, 04, 05, ... UTC)	SYNOP MOBIL	000/003
ISR,,observation/water,,,Hydrologic reports	HYDRA	000/040
ISS,01-19,observation/water,,,01-19	Synoptic observations from marine stations	SHIP	001/000
ISS,20-39,observation/water,,,20-39	One-hour observations from automatic marine stations	n/a	001/006
ISS,40-59,observation/water,,,40-59	N-minute observations from automatic marine stations	n/a	001/007
IST,01-19,observation/water,,,01-19	Tide gauge observations	n/a	001/030
IST,20-39,observation/water,,,20-39	Observed water level time series	n/a	001/031
ISV,,observation/air/navigation/special,,,Special aeronautical observations (SPECI)	SPECI	000/011
ISW,,observation/air/navigation,,,Aviation routine weather observations (METAR)	METAR	000/010
ISX,,observation/land,,,Other surface data	IAC, IAC FLEET	
ITA,,message,,,Administrative message	
ITB,,message,,,Service message	
ITR,,message,,,Request for data (inclusive of type)	
ITX,,message,,,Other text messages of information	
IUA,,observation/air/amdar,,,Single level aircraft reports (automatic)	AMDAR	004/000
IUA,,observation/air/airep,,,Single level aircraft reports (manual)	AIREP/PIREP	004/001
IUB,,observation,,,Single level balloon reports	n/a	
IUC,,satellite,,,(used for single level satellite-derived reports – see Note 3)	SAREP/SATOB	005/000
IUD,,observation/air/sonde,,,Dropsonde/Dropwindsondes	TEMP DROP	002/007
IUE,,observation/air/ozone,,,Ozone vertical sounding	n/a	008/001
IUI,,observation/air/dispersal,,,Dispersal and transport analysis	n/a	009/000
IUJ,01-19,observation/air/wind/fixed,,,01-19	Upper wind from fixed land stations (entire sounding)	PILOT (parts A, B, C, D)	002/001
IUJ,20-39,observation/air/wind/mobile,,,20-39	Upper wind from mobile land stations (entire sounding)	PILOT MOBIL (parts A, B, C, D)	002/003
IUJ,40-59,observation/air/wind/marine,,,40-59	Upper wind from marine stations (entire sounding)	PILOT SHIP (parts A, B, C, D)	002/002
IUK,01-19,observation/air/wind/fixed,,,01-19	Radio soundings from fixed land stations (up to 100 hPa)	TEMP (parts A, B)	002/004
IUK,20-39,observation/air/sonde/mobile,,,20-39	Radio soundings from mobile land stations (up to 100 hPa)	TEMP MOBIL (parts A, B)	002/006
IUK,40-59,observation/air/sonde/marine,,,40-59	Radio soundings from marine stations (up to 100 hPa)	TEMP SHIP (parts A, B)	002/005
IUL,,observation/air/ozone,,, 	Total ozone	 	008/002
IUM,,model/sonde,,,Model derived sondes	
IUN,,observation/air/sonde/rocket,,,Rocketsondes	
IUO,,observation/air/amdar/profile,,,Profiles of aircraft observations in ascending /descending	AMDAR	002/020
IUP,,observation/air/profile,,,Profilers	PILOT	002/010
IUQ,,observation/air/sonde/fixed,rass,,,RASS temperature profilers	TEMP	002/011
IUR,,observation/radiance,,,(used for radiance data – see Note 3)	
IUS,01-19,observation/air/sonde/fixed,,,01-19	Radiosondes/pibal reports from fixed land stations (entire sounding)	TEMP (parts A, B, C, D)	002/004
IUS,20-39,observation/air/sonde/mobile,,,20-39	Radio soundings from mobile land stations (entire sounding)	TEMP MOBIL (parts A, B, C, D)	002/006
IUS,40-59,observation/air/sonde/marine,,,40-59	Radio soundings from marine stations (entire sounding)	TEMP SHIP (parts A, B, C, D)	002/005
IUT,,observation/air/sonde/satellite,,,(used for satellite-derived sondes – see Note 3)	SATEM, SARAD, SATOB	
IUU,01-45,observation/air/monthly/fixed,,,01-45	Monthly statistics of data from upper-air stations	CLIMAT TEMP	002/025
IUU,46-59,observation/air/monthly/marine,,,46-59	Monthly statistics of data from marine stations	CLIMAT TEMP, SHIP	002/026
IUW,01-19,observation/air/monthly/wind/fixed,,,01-19	Upper wind from fixed land stations (up to 100 hPa)	PILOT (parts A, B)	002/001
IUW,20-39,observation/air/monthly/wind/mobile,,,20-39	Upper wind from mobile land stations (up to 100 hPa)	PILOT MOBIL (parts A, B)	002/003
IUW,40-59,observation/air/monthly/wind/marine,,,40-59	Upper wind from marine stations (up to 100 hPa)	PILOT SHIP (parts A, B)	002/002
IUX,,observation/air/monthly/wind/,,,Other upper air reports	
JOI,,observation/sea/ice,,,Sea ice	
JOS,,observation/sea/deep,,,Sea surface and below soundings	
JOT,,observation/sea/surface,,,Sea surface temperature	
JOW,,observation/sea/surface/waves,,,Sea surface waves	
JOX,,observation/sea/,,,Other sea environmetal data	
JSA,,forecast/air/navigation/routes,,,Surface area forecast (e.g. airways)	
JSD,,forecast/radiation,,,Radiological forecast	RADOF	
JSM,,forecast/sea/surface,,,Surface forecasts (e.g. MOS)	
JSO,,forecast/sea/navigation,,,Maritime forecast	MAFOR	
JSP,,forecast/air/navigation,,,Forecast amendments (airways)	
JSR,,forecast/water,,,Hydrologic forecast	HYFOR	
JSS,,forecast/air/navigation,,,Forecast amendments (TAF)	
JST,,forecast/air/navigation,,,Aerodrome forecast (TAF)	
JSX,,forecast/land,,,Other surface forecasts	
JTE,,forecast/tsunami,,,Tsunami	
JTH,,forecast/cyclone,,,Hurricane, typhoon, tropical storm warning	
JTS,,alert/air/navigation/,,,Severe weather, SIGMET	
JTT,,alert/tornado/,,,Tornado warning	
JTX,,alert,,,Other warnings	
JUA,,forecast/air/navigation,,,Forecast at single levels	
JUB,,alert/air/navigation/cb,,,Binary coded SIGWX, Embeded Cumulonimbus	 	 
JUC,,alert/air/navigation/turbulence,,,Binary coded SIGWX, Clear air turbulence	
JUF,,alert/air/navigation/fronts,,,Binary coded SIGWX, Fronts	
JUN,,alert/air/navigation,,,Binary coded SIGWX, Other SIGWX parameters	
JUO,,alert/air/navigation/turbulence,,,Binary coded SIGWX, Turbulence	
JUS,,forecast/sonde,,,Forecast soundings	
JUT,,alert/air/navigation/ice,,,Binary coded SIGWX, Icing/Tropopause	
JUV,,alert/air/navigation/storms,,,Binary coded SIGWX, Tropical storms, sandstorms, volcanoes	
JUW,,alert/air/navigation/winds,,,Binary coded SIGWX, High-level winds	
JUX,,alert/air/upper,,,Other upper air forecasts	
