96,0002_5m,,2.5 m
94,0005m,,5.0 m
92,0007_5m,,7.5 m
90,0013m,,12.5 m
88,0017_5m,,17.5 m
86,0025m,,25.0 m
84,0032_5m,,32.5 m
82,0040m,,40.0 m
80,0050m,,50.0 m
78,0062_5m,,62.5 m
76,0075m,,75.0 m
74,0100m,,100 m
72,0125m,,125 m
70,0150m,,150 m
68,0200m,,200 m
66,0300m,,300 m
64,0400m,,400 m
62,0500m,,500 m
60,0600m,,600 m
58,0700m,,700 m
56,0800m,,800 m
54,0900m,,900 m
52,1000m,,1000 m
50,1100m,,1100 m
48,1200m,,1200 m
46,1300m,,1300 m
44,1400m,,1400 m
42,1500m,,1500 m
40,1750m,,1750 m
38,2000m,,2000 m
36,2500m,,2500 m
34,3000m,,3000 m
32,4000m,,4000 m
30,5000m,,5000 m
01,primary,,Primary layer depth

